account,shares,pre_dai,post_dai
0xEb2893D2f9664046CfA3Bd1EA48149A041551902,"24,998.650382056600000000","27,749.959760720000000000","18,961.266298796700000000"
0xf010f0E862cae1b2f000e48DF8FD07728aC28B41,"24,542.453141463200000000","27,243.554219783000000000","18,615.244524362200000000"
0xF6937FB216624c7E2e1b148d4da97dFaA93E9568,"23,673.766262010900000000","26,279.261124713800000000","17,956.352824217100000000"
0x3aC9bd79fFd088E6a568ccaA3da95E884feFd9AF,"23,671.855681502600000000","26,277.140268931000000000","17,954.903664952500000000"
0x34cd8a21E92b0Abd558Ff02D6cc7a9e12DAf0ff1,"23,132.991678530300000000","25,678.969800907900000000","17,546.179845744800000000"
0xD2e10CfC63d1e48850849B4EE6977Ca359cAa7ce,"23,064.334479681100000000","25,602.756306330000000000","17,494.103937213200000000"
0x7c55C37Ae3da8272c41eeFFf9B6B3C43f6Ef713d,"23,059.812660776200000000","25,597.736823648300000000","17,490.674175562000000000"
0x546F42D4d1B6c759cfcC5bd1c0273E1a5418C27e,"22,948.573306666000000000","25,474.254653483600000000","17,406.300060001600000000"
0xfc97F70a9871A72b23b29F9364398e89fc0c32ff,"22,934.574192184600000000","25,458.714820028300000000","17,395.681849275400000000"
0x4C8735897AeeD9268237ef09D718557e6978E9b8,"22,701.358660378200000000","25,199.831979383100000000","17,218.789827665600000000"
0x1b7e643C1852910957590D345f3755142d806d63,"22,595.420103026400000000","25,082.234002744600000000","17,138.436321914000000000"
0xBB379331De54A7c0a4b2bfF5A54A14cdba7E9E6d,"22,582.803634890400000000","25,068.228987364000000000","17,128.866836825000000000"
0x26B2a1d69cb2Ba1Ff1aB38708f46F401907333ad,"22,449.072261677600000000","24,919.779364337000000000","17,027.432713732800000000"
0x1A50a6238eb67285cCD4DF17f75CCe430BAAE2A4,"22,448.765793682700000000","24,919.439166990400000000","17,027.200260333300000000"
0x9663ca24Ef69Ee379B4a18981858F65CB804Cc2D,"22,355.010997668500000000","24,815.365875952400000000","16,956.088035199300000000"
0x9Af28e709fE659b7E6dC2eD99392E88dE37D3fF1,"22,026.905824677700000000","24,451.149999950000000000","16,707.223017928000000000"
0x3CADe22Bde30d487dCe4060f33F91363D23831Bb,"21,840.076869201800000000","24,243.758964139800000000","16,565.514824767000000000"
0x534b4A04E36A1EB65225953F233E59Bf0BF64364,"21,669.266661733400000000","24,054.149672777000000000","16,435.956717394700000000"
0x61d06Ccb56BEE52dF7fb20573c4d029f1A21C112,"21,398.298342283300000000","23,753.359036232500000000","16,230.429523521900000000"
0x0Ef41346e4Df57c7BE266C0f7717E03B28357c2C,"20,964.414848898900000000","23,271.723055959800000000","15,901.332538885500000000"
0xeb1677397B625AB2319B1B07bBAa74D7577AEE70,"19,990.545619083500000000","22,190.671418109100000000","15,162.660909636800000000"
0xD28Ac178B64Db82DF1e75911B9833fb43316aEb9,"19,879.941965530500000000","22,067.894912634700000000","15,078.768967608400000000"
0x42D113f44f6771F84fAabe1e7Aa9Ac6383e7b305,"19,604.012360772400000000","21,761.596960073000000000","14,869.478680509800000000"
0x2FF10CFbB483408F8CA5b18F113a34Efed49c711,"19,389.602723229900000000","21,523.589758756800000000","14,706.850771709100000000"
0xA075fF50eCd39819B85f62dc4AAa047718688Bc8,"19,152.942015762600000000","21,260.882572217100000000","14,527.345613303900000000"
0x8B0f6393d12A77885D102D3a07Fc1706Cc584F8B,"19,042.343808182700000000","21,138.112112090500000000","14,443.457802000400000000"
0x6A4c4695428d1BB3FAC49614dFCF390BC78FacFE,"19,002.285573231500000000","21,093.645135234000000000","14,413.073967322900000000"
0xc7D6F2C68E072cc98859Cc1EB85200c6bA921c20,"18,995.983731401400000000","21,086.649723300500000000","14,408.294073237100000000"
0xDc9AC66b32d15124a8c2d1cB36EeeeA90D5F76B4,"18,828.049569494100000000","20,900.233010231800000000","14,280.917422261000000000"
0x308C4A67EB1480e739CfC18D0FD8805C55DD8402,"18,763.906917060800000000","20,829.030925448500000000","14,232.265759258600000000"
0x131aAEcBfF040379070024EA0AE9AB72a059e6C4,"18,755.519404833500000000","20,819.720297744900000000","14,225.903901698600000000"
0x119e26E8809EfD0D2bAF690C62bD847271f2E96E,"18,636.863664803300000000","20,688.005506710400000000","14,135.904519723600000000"
0x95790d1F3946B5c8Bc62D21f6A1503548aB0f510,"18,380.284897084200000000","20,403.188111737300000000","13,941.291679950800000000"
0x7c43602698920b94978De73d27081e1ee2bCc1F9,"18,355.305749263700000000","20,375.459800957300000000","13,922.345206181100000000"
0x03f177Bd98f6bb3afbABBC9Ea24eac24135E7ecB,"18,331.721513974900000000","20,349.279924433900000000","13,904.456761847900000000"
0xc7A92B4346C8023ca77f011B4112a43003804E8D,"18,170.990100800800000000","20,170.858682499000000000","13,782.543335275000000000"
0x75bbC04fA183dd0ac75857a0400F93f766748f01,"17,702.696263977800000000","19,651.025214314700000000","13,427.346394224900000000"
0xAB51d1f7509255259D2A8036Bb4FFFb7eB1258e4,"17,643.080441138600000000","19,584.848174370300000000","13,382.128293439500000000"
0xd4328358EdD4770576f79947c2A805b164911986,"17,432.859781735300000000","19,351.490983075700000000","13,222.677689365400000000"
0x18008dd511085Fc59023D25137D6bfD4Cbf544Fd,"17,350.424952958900000000","19,259.983515813800000000","13,160.151564281200000000"
0xF7de1eEDE3F7b46EdB6f851E0227127482446359,"16,778.558838818500000000","18,625.178779822600000000","12,726.395921006200000000"
0xc806Ac57b97113CD52E9b925fC6d70a0e3e581EF,"16,529.164259519300000000","18,348.336252953200000000","12,537.232227794900000000"
0x8de2E51C5e84DF78FaBCe4134AfE27B3f0116D4C,"16,389.151658527300000000","18,192.914100791300000000","12,431.033846201400000000"
0xFa0b9B6EDFC99387C8A63375C8FBE10FC24BB203,"16,233.230834201700000000","18,019.832893015400000000","12,312.769210855800000000"
0x5550519d3DeD948884EA0337E3524c24955115D2,"16,145.200518416400000000","17,922.114108863800000000","12,245.998955883600000000"
0xF0Fe6fF0c8516b26600d1C14AfFFa3E9ABCDd0b1,"16,077.899065110100000000","17,847.405570901000000000","12,194.951368956500000000"
0xa289364347bfC1912ab672425Abe593ec01Ca56E,"15,875.833745286000000000","17,623.101282131000000000","12,041.686521439500000000"
0x4bB638AA5485478d2106c808fe95138766041792,"15,761.616370017200000000","17,496.313334812100000000","11,955.053601849000000000"
0x27038Ea1fe521B10428BA085f1Ab0788dfaA51bA,"15,572.814789680200000000","17,286.732570369200000000","11,811.849189303000000000"
0xdFC8056a3375Dffda7d7400BB39327960486fCd5,"14,964.303391247700000000","16,611.249431784900000000","11,350.298405753000000000"
0x39e6382ec12e06EfF56aead7b785a5d461B70e13,"14,952.481772374000000000","16,598.126745438400000000","11,341.331807151900000000"
0xf8728e1c96097563396dA89027B226bCd5f7909b,"14,942.910393886400000000","16,587.501957146800000000","11,334.071996979100000000"
0x3b0455182504A6f45C2D32D6edA19E16Bb4A39Da,"14,889.412117576700000000","16,528.115750604700000000","11,293.494003842100000000"
0x5b546Ff22BeD831F9b563C2b6821c764B70C9259,"14,741.685545381600000000","16,364.130640554700000000","11,181.444639896900000000"
0x23443c67362b06Efd93ec22368d9EC889433eB9d,"14,355.503156419500000000","15,935.445667957600000000","10,888.528542223400000000"
0x14f25b5E6d3e00aEb8BB0AEA93ab94cDf84090db,"14,057.023816587200000000","15,604.116194439400000000","10,662.134470513400000000"
0xef39a612a19e8ac784Cb6d25A0cede7F95A5E9e5,"14,048.238390124400000000","15,594.363858729400000000","10,655.470798348500000000"
0x872614Fb3FA7dfE8E4b87BfBbCc37f64799086aC,"13,984.879245792900000000","15,524.031513630600000000","10,607.413419659100000000"
0x029d0eB5A3AFBdF7B3D5e4959E90543Dd261c62d,"13,886.024184059300000000","15,414.296630213800000000","10,532.432685824800000000"
0x9F7DD5Ea934D188A599567Ee104E97Fa46cb4496,"13,881.993458584600000000","15,409.822289878700000000","10,529.375414414700000000"
0xD3E063d8304cAd933B3fE9332B6788288539da64,"13,868.042179324800000000","15,394.335556308900000000","10,518.793486302200000000"
0xC2735bA0673f6B76123735F73D4e768485D2A6E2,"13,795.662000376700000000","15,313.989336709600000000","10,463.893728642700000000"
0xA7273A461B1168b9caEEB6923BC09CCc08DFcAf2,"13,702.322811147600000000","15,210.377393439800000000","10,393.096737763600000000"
